ID,Full Name,Gender,Date of Birth,Checkout Date,Purpose,SOURCE,Overall Experience,NPS RATING,NPS CATEGORY,Feedback,Feedback Category,Rating,Rating Range
1,Guest 00001,Male,1993-10-02,2022-04-07,Business,Organization,3,9,Promoters,Staff attitude,Staff,Good,3
2,Guest 00002,Male,1961-03-24,2021-06-05,Business,Organization,3,10,Promoters,Check-in Process,Staff,Good,3
3,Guest 00003,Male,1981-10-03,2020-01-16,Vacation,News paper,4,4,Detractors,Room service,Room,Very good,4
4,Guest 00004,Male,2004-03-31,2022-05-14,Vacation,Search engine,5,6,Detractors,Room cleanliness,Room,Poor,1
5,Guest 00005,Male,1961-08-08,2022-06-24,Business,hotel booking sites,5,5,Detractors,Food quality,Restaurant,Very good,4
6,Guest 00006,Male,1957-03-30,2021-08-28,Function,Search engine,3,9,Promoters,Variety of food,Restaurant,Average,2
7,Guest 00007,Female,2001-02-18,2022-10-04,Vacation,Internet advertisement,4,9,Promoters,Broadband & TV,Facility,Excellent,5
8,Guest 00008,Male,1981-11-27,2020-02-01,Business,Organization,1,7,Passives,Gym,Facility,Excellent,5
9,Guest 00009,Female,1988-09-28,2020-08-08,Vacation,Television advertisement,4,9,Promoters,Staff attitude,Staff,Very good,4
10,Guest 00010,Male,1997-11-24,2020-12-16,Business,Organization,5,9,Promoters,Check-in Process,Staff,Excellent,5
11,Guest 00011,Female,1961-10-31,2020-06-05,Business,Organization,3,4,Detractors,Room service,Room,Very good,4
12,Guest 00012,Female,2004-12-02,2020-05-04,Function,News paper,4,10,Promoters,Room cleanliness,Room,Very good,4
13,Guest 00013,Female,1997-10-26,2022-05-14,Function,Organization,2,7,Passives,Food quality,Restaurant,Very good,4
14,Guest 00014,Male,1993-12-21,2020-05-31,Vacation,Internet advertisement,2,10,Promoters,Variety of food,Restaurant,Poor,1
15,Guest 00015,Female,1966-07-10,2021-12-15,Function,Word of mouth,2,8,Passives,Broadband & TV,Facility,Excellent,5
16,Guest 00016,Female,1972-09-04,2020-06-27,Vacation,Word of mouth,4,9,Promoters,Gym,Facility,Very good,4
17,Guest 00017,Male,1993-05-04,2022-04-28,Business,Search engine,5,9,Promoters,Staff attitude,Staff,Poor,1
18,Guest 00018,Female,1972-12-26,2020-08-15,Function,Search engine,5,9,Promoters,Check-in Process,Staff,Good,3
19,Guest 00019,Female,1987-10-14,2020-07-08,Business,Organization,3,3,Detractors,Room service,Room,Very good,4
20,Guest 00020,Female,1994-03-28,2021-08-23,Function,Word of mouth,5,9,Promoters,Room cleanliness,Room,Average,2
21,Guest 00021,Female,1998-03-10,2020-12-12,Business,Organization,3,8,Passives,Food quality,Restaurant,Poor,1
22,Guest 00022,Female,1980-02-21,2021-04-22,Other,Word of mouth,5,5,Detractors,Variety of food,Restaurant,Poor,1
23,Guest 00023,Male,1970-03-28,2022-02-13,Vacation,Internet advertisement,5,9,Promoters,Broadband & TV,Facility,Good,3
24,Guest 00024,Male,1952-03-31,2020-02-19,Vacation,Organization,3,9,Promoters,Gym,Facility,Very good,4
25,Guest 00025,Male,1973-06-01,2021-01-27,Vacation,Search engine,5,9,Promoters,Staff attitude,Staff,Good,3
26,Guest 00026,Male,1981-05-05,2021-06-11,Vacation,hotel booking sites,2,4,Detractors,Check-in Process,Staff,Very good,4
27,Guest 00027,Male,1956-01-28,2022-11-22,Business,Organization,3,8,Passives,Room service,Room,Good,3
28,Guest 00028,Male,1962-09-19,2021-01-19,Function,Television advertisement,1,9,Promoters,Room cleanliness,Room,Poor,1
29,Guest 00029,Female,1958-09-18,2022-05-08,Vacation,Word of mouth,3,9,Promoters,Food quality,Restaurant,Average,2
30,Guest 00030,Male,1998-11-26,2020-07-25,Business,Organization,5,8,Passives,Variety of food,Restaurant,Poor,1
31,Guest 00031,Male,1996-08-10,2020-08-17,Vacation,Search engine,3,10,Promoters,Broadband & TV,Facility,Poor,1
32,Guest 00032,Male,1999-05-22,2021-06-14,Function,Word of mouth,2,8,Passives,Gym,Facility,Excellent,5
33,Guest 00033,Female,1965-04-26,2022-01-01,Business,Organization,1,9,Promoters,Staff attitude,Staff,Excellent,5
34,Guest 00034,Male,1961-07-06,2021-12-08,Vacation,Internet advertisement,1,4,Detractors,Check-in Process,Staff,Excellent,5
35,Guest 00035,Female,2003-01-07,2020-05-29,Business,Organization,3,8,Passives,Room service,Room,Very good,4
36,Guest 00036,Female,1987-01-14,2020-07-11,Business,hotel booking sites,4,9,Promoters,Room cleanliness,Room,Average,2
37,Guest 00037,Male,1954-10-09,2022-08-10,Business,Organization,2,7,Passives,Food quality,Restaurant,Good,3
38,Guest 00038,Male,1960-08-02,2020-03-13,Function,Organization,3,9,Promoters,Variety of food,Restaurant,Average,2
39,Guest 00039,Female,1985-10-22,2022-11-20,Business,Organization,4,5,Detractors,Broadband & TV,Facility,Excellent,5
40,Guest 00040,Male,2004-12-26,2022-07-03,Function,Television advertisement,5,9,Promoters,Gym,Facility,Good,3
41,Guest 00041,Female,1956-11-22,2021-05-15,Business,Organization,5,8,Passives,Staff attitude,Staff,Excellent,5
42,Guest 00042,Male,1978-01-16,2022-06-16,Business,Organization,4,9,Promoters,Check-in Process,Staff,Good,3
